State,Level,Name,TRU,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT
0,India,India,Total,1210854977,623270258,587584719,763638812,434763622,328875190
0,India,India,Rural,833748852,427781058,405967794,482793835,281361374,201432461
0,India,India,Urban,377106125,195489200,181616925,280844977,153402248,127442729
1,STATE,JAMMU & KASHMIR,Total,12541302,6640662,5900640,7067233,4264671,2802562
1,STATE,JAMMU & KASHMIR,Rural,9108060,4774477,4333583,4747950,2891749,1856201
1,STATE,JAMMU & KASHMIR,Urban,3433242,1866185,1567057,2319283,1372922,946361
1,DISTRICT,Kupwara,Total,870354,474190,396164,439654,282823,156831
1,DISTRICT,Kupwara,Rural,765625,412038,353587,374998,238785,136213
1,DISTRICT,Kupwara,Urban,104729,62152,42577,64656,44038,20618
1,DISTRICT,Badgam,Total,753745,398041,355704,335649,207741,127908
1,DISTRICT,Badgam,Rural,655833,343385,312448,278265,170641,107624
1,DISTRICT,Badgam,Urban,97912,54656,43256,57384,37100,20284
1,DISTRICT,Leh(Ladakh),Total,133487,78971,54516,93770,62834,30936
1,DISTRICT,Leh(Ladakh),Rural,87816,48411,39405,56789,36062,20727
1,DISTRICT,Leh(Ladakh),Urban,45671,30560,15111,36981,26772,10209
1,DISTRICT,Kargil,Total,140802,77785,63017,86236,56301,29935
1,DISTRICT,Kargil,Rural,124464,67703,56761,73896,47674,26222
1,DISTRICT,Kargil,Urban,16338,10082,6256,12340,8627,3713
1,DISTRICT,Punch,Total,476835,251899,224936,261724,163333,98391
1,DISTRICT,Punch,Rural,438205,229774,208431,231541,144716,86825
1,DISTRICT,Punch,Urban,38630,22125,16505,30183,18617,11566
1,DISTRICT,Rajouri,Total,642415,345351,297064,364109,224469,139640
1,DISTRICT,Rajouri,Rural,590101,310748,279353,321210,194113,127097
1,DISTRICT,Rajouri,Urban,52314,34603,17711,42899,30356,12543
1,DISTRICT,Kathua,Total,616435,326109,290326,389204,228499,160705
1,DISTRICT,Kathua,Rural,526722,278126,248596,320364,189875,130489
1,DISTRICT,Kathua,Urban,89713,47983,41730,68840,38624,30216
1,DISTRICT,Baramula,Total,1008039,534733,473306,545149,337170,207979
