State  Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Population,"Area
 (In sq. km)",Population per sq. km.
0,INDIA,INDIA,Total,"1,21,08,54,977",3287469,382
0,INDIA,INDIA ,Rural,"83,37,48,852",3101473.97,279
0,INDIA,INDIA ,Urban,"37,71,06,125",102252.03,"3,685"
1,STATE,JAMMU & KASHMIR ,Total,"1,25,41,302",222236,124
1,STATE,JAMMU & KASHMIR,Rural,"91,08,060",220990.1,91
1,STATE,JAMMU & KASHMIR,Urban,"34,33,242",1245.9,"2,755"
1,DISTRICT,Kupwara,Total,"8,70,354",2379,366
1,DISTRICT,Kupwara,Rural,"7,65,625",2331.66,328
1,DISTRICT,Kupwara,Urban,"1,04,729",47.34,"2,212"
1,SUB-DISTRICT,Kupwara,Total,"5,40,914",301.94,"1,791"
1,SUB-DISTRICT,Kupwara,Rural,"4,65,323",275.03,"1,692"
1,SUB-DISTRICT,Kupwara,Urban,"75,591",26.91,"2,809"
1,SUB-DISTRICT,Handwara,Total,"2,69,311",291.47,924
1,SUB-DISTRICT,Handwara,Rural,"2,55,711",282.97,904
1,SUB-DISTRICT,Handwara,Urban,"13,600",8.5,"1,600"
1,SUB-DISTRICT,Karnah,Total,"60,129",69.89,860
1,SUB-DISTRICT,Karnah,Rural,"44,591",57.96,769
1,SUB-DISTRICT,Karnah,Urban,"15,538",11.93,"1,302"
1,DISTRICT,Badgam,Total,"7,53,745",1361,554
1,DISTRICT,Badgam,Rural,"6,55,833",1311.95,500
1,DISTRICT,Badgam,Urban,"97,912",49.05,"1,996"
1,SUB-DISTRICT,Khag,Total,"67,596",61.12,"1,106"
1,SUB-DISTRICT,Khag,Rural,"67,596",61.12,"1,106"
1,SUB-DISTRICT,Khag,Urban,0,0,0
1,SUB-DISTRICT,Beerwah,Total,"1,63,333",134.07,"1,218"
1,SUB-DISTRICT,Beerwah,Rural,"1,49,671",126.77,"1,181"
1,SUB-DISTRICT,Beerwah,Urban,"13,662",7.3,"1,872"
1,SUB-DISTRICT,Khansahib,Total,"1,23,312",125.91,979
1,SUB-DISTRICT,Khansahib,Rural,"1,20,682",121.61,992
1,SUB-DISTRICT,Khansahib,Urban,"2,630",4.3,612
1,SUB-DISTRICT,Budgam,Total,"1,33,855",146.16,916
1,SUB-DISTRICT,Budgam,Rural,"1,11,056",131.44,845
1,SUB-DISTRICT,Budgam,Urban,"22,799",14.72,"1,549"
1,SUB-DISTRICT,Chadoora,Total,"2,12,233",194.67,"1,090"
1,SUB-DISTRICT,Chadoora,Rural,"1,64,945",172.74,955
1,SUB-DISTRICT,Chadoora,Urban,"47,288",21.93,"2,156"
1,SUB-DISTRICT,Charar- E- Shrief,Total,"53,416",58.85,908
1,SUB-DISTRICT,Charar- E- Shrief,Rural,"41,883",58.05,721
1,SUB-DISTRICT,Charar- E- Shrief,Urban,"11,533",0.8,"14,416"
1,DISTRICT,Leh(Ladakh),Total,"1,33,487",45110,3
1,DISTRICT,Leh(Ladakh),Rural,"87,816",45085.99,2
1,DISTRICT,Leh(Ladakh),Urban,"45,671",24.01,"1,902"
1,SUB-DISTRICT,Leh,Total,"93,961",171.06,549
1,SUB-DISTRICT,Leh,Rural,"48,290",147.05,328
1,SUB-DISTRICT,Leh,Urban,"45,671",24.01,"1,902"
1,SUB-DISTRICT,Nubra,Total,"22,433",166.82,134
1,SUB-DISTRICT,Nubra,Rural,"22,433",166.82,134
1,SUB-DISTRICT,Nubra,Urban,0,0,0
